surrogate_key,product,uid,is_active,valid_from,valid_until
7391,security_ticker,IPH1D,True,,
7392,security_ticker,8DA1,True,,
7393,security_ticker,IPO,True,,
7394,security_ticker,IPO1EUR,True,,
7395,security_ticker,IPO1CAD,True,,
7396,security_ticker,IPO1USD,True,,
7397,security_ticker,IPO1GBP,True,,
7398,security_ticker,ISO,True,,
7399,security_ticker,I01,True,,
7400,security_ticker,ISO1EUR,True,,
7401,security_ticker,ISO1GBP,True,,
7402,security_ticker,ISO1GCAD,True,,
7403,security_ticker,ISO1GUSD,True,,
7404,security_ticker,I9T,True,,
7405,security_ticker,IMP,True,,
7406,security_ticker,IMP3EUR,True,,
7407,security_ticker,IMP3GBP,True,,
7408,security_ticker,IMP3GCAD,True,,
7409,security_ticker,IMP3USD,True,,
7410,security_ticker,IMP3,True,,
7411,security_ticker,IYAA,True,,
7412,security_ticker,IVN,True,,
7413,security_ticker,IVNN,True,,
7414,security_ticker,IVNEUR,True,,
7415,security_ticker,IVNCAD,True,,
7416,security_ticker,IVNUSD,True,,
7417,security_ticker,IVNGBP,True,,
7418,security_ticker,32JP,True,,
7419,security_ticker,JAG,True,,
7420,security_ticker,JAG1EUR,True,,
7421,security_ticker,JAG1CAD,True,,
7422,security_ticker,JAG1GBX,True,,
7423,security_ticker,JAG1USD,True,,
7424,security_ticker,YJ3A,True,,
7425,security_ticker,JBSAYN,True,,
7426,security_ticker,JBSAYUSD,True,,
7427,security_ticker,JBSAYGBP,True,,
7428,security_ticker,JBSAYEUR,True,,
7429,security_ticker,SUY,True,,
7430,security_ticker,JSAIYUSD,True,,
7431,security_ticker,JSAIYEUR,True,,
7432,security_ticker,KFI2,True,,
7433,security_ticker,KHRN,True,,
7434,security_ticker,4KH,True,,
