source,product,field,source_value,source_description,uid,uid_description,is_seed,valid_from,valid_until,is_active
OpenFigi,exchange,exchange_code,IQ,,XIQS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UL,,XISE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,TI,,XIST,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,JA,,XJAM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,JQ,,XJAS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,SJ,,XJSE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,PK,,XKAR,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,KZ,,XKAZ,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,KF,,XKFB,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,MK,,XKLS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,KE,,XKON,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,KP,,XKRX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,KQ,,XKOS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,KB,,XKSE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,KK,,XKUW,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,LS,,XLAO,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,LD,,XLDN,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,PE,,XLIM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,PL,,XLIS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,LH,,XLIT,mic,True,2023-01-01 00:00:00,,True
